Account Code,Territory,Account Type,Key Account,Key Account Manager,Account Name,Account Manager
46361474,Memnonnar,No Key Account,No Key Account,No Key Account Manager,Alan's Adventuring Gear Memnonnar,Lauren Masiak
30533547,Malaxer,No Key Account,No Key Account,No Key Account Manager,Alan's Foundries Malaxer,Malwina Calderón
79634925,Hilltop,No Key Account,No Key Account,No Key Account Manager,Alan's Prospecting Hilltop,Bruno Kadlec
43486610,Ordulin,No Key Account,No Key Account,No Key Account Manager,Alan's Workshops Ordulin,Noemí Brown
87629297,Dwarven Valley,No Key Account,No Key Account,No Key Account Manager,Albert's Equipment Dwarven Valley,Kristin Grifeo
92487613,Paletorch,No Key Account,No Key Account,No Key Account Manager,Albert's Rook Paletorch,Noemí Brown
16058997,Bryn Shander,No Key Account,No Key Account,No Key Account Manager,Aleks's Keepsakes Bryn Shander,Jérôme Dyrek
92665154,Fort Belurian,No Key Account,No Key Account,No Key Account Manager,Aleks's Stocks Fort Belurian,Danielle Kidawa
31106779,Rauvincross,No Key Account,No Key Account,No Key Account Manager,Aleks's Supplies Rauvincross,Veronica Humphrey
95107984,Friendly Arm Inn,Private Buyer,Private Buyer,Magnus Mortensen,Alena-Šimková Friendly Arm Inn,Magnus Mortensen
91051188,Tharsult,No Key Account,No Key Account,No Key Account Manager,Alessia's Exports Tharsult,Bridget Tichá
84294255,Lushpool,No Key Account,No Key Account,No Key Account Manager,Alessia's Rook Lushpool,Sandra Carlier
27924011,Paletorch,No Key Account,No Key Account,No Key Account Manager,Alessia's Stocks Paletorch,Christina Hendrix
70961130,Ironfang Keep,No Key Account,No Key Account,No Key Account Manager,Alessia's Supplies Ironfang Keep,Danielle Kidawa
75799261,Farview,Private Buyer,Private Buyer,Magnus Mortensen,Alexandra-Miller Farview,Magnus Mortensen
46916955,Nykkar,Private Buyer,Private Buyer,Magnus Mortensen,Alexandra-Sutton-Morgan Nykkar,Magnus Mortensen
45081176,Halagard,Private Buyer,Private Buyer,Magnus Mortensen,Alexandra-Tyler Halagard,Magnus Mortensen
36928178,Scornubel,No Key Account,No Key Account,No Key Account Manager,Alexandrie's Armor & Weapons Scornubel,Ruperta Douglas
18807493,Olafstaad,No Key Account,No Key Account,No Key Account Manager,Alexandrie's Outlets Olafstaad,Noemí Brown
55902734,Mirabar,No Key Account,No Key Account,No Key Account Manager,Aleš's Pantries Mirabar,Danielle Kidawa
49024078,Surthay,No Key Account,No Key Account,No Key Account Manager,Aleš's Trinkets Surthay,Isabella Suda
26880401,Praka,No Key Account,No Key Account,No Key Account Manager,Aleš's Vaults Praka,Noemí Brown
81847575,Shimmerglade,Private Buyer,Private Buyer,Magnus Mortensen,Alice-Lesage Shimmerglade,Magnus Mortensen
11964612,Messemprar,Private Buyer,Private Buyer,Magnus Mortensen,Alisha-Cook Messemprar,Magnus Mortensen
34189663,Nethyr,No Key Account,No Key Account,No Key Account Manager,Alison's Antiquities Nethyr,Christina Hendrix
52745581,Ilmwatch,No Key Account,No Key Account,No Key Account Manager,Alison's Groceries Ilmwatch,Christina Hendrix
24384843,Silverymoon,No Key Account,No Key Account,No Key Account Manager,Allan's Arcana Silverymoon,Saban Henderson
71841667,Telflamm,No Key Account,No Key Account,No Key Account Manager,Allan's Cornerstores Telflamm,Rafał Jackson
45723145,Oman,No Key Account,No Key Account,No Key Account Manager,Alma's Ioun Stones Oman,Marleen Roy
29177122,Silverymoon,No Key Account,No Key Account,No Key Account Manager,Alma's Repositories Silverymoon,Rachel Rychcik
29449884,Dilpur,No Key Account,No Key Account,No Key Account Manager,Alma's Weaponsmithing Dilpur,Josh Blanc
64335876,Caer Callidyrr,Private Buyer,Private Buyer,Magnus Mortensen,Alžběta-Zemanová Caer Callidyrr,Magnus Mortensen
55296611,Keltar,No Key Account,No Key Account,No Key Account Manager,Amador's Factories Keltar,Paulina Ellis
34932550,Urmlaspyr,No Key Account,No Key Account,No Key Account Manager,Amador's Workshops Urmlaspyr,Kristin Grifeo
72234962,Caer Moray,Private Buyer,Private Buyer,Magnus Mortensen,Amanda-Collier Caer Moray,Magnus Mortensen
29673684,Eveningstar,No Key Account,No Key Account,No Key Account Manager,Ambiguous Trades Eveningstar,Rafał Jackson
51447742,Sundabar,No Key Account,No Key Account,No Key Account Manager,Ambiguous Wall-Market Sundabar,Linda Hensley
62532723,Amphail,Key Account,Nobility,Eric the Cleric,Amphail Nobility,None
84790672,Amruthar,Key Account,House of Wonders,Aewynn Aasimar,Amruthar House of Wonders,None
15331924,Arkanax,No Key Account,No Key Account,No Key Account Manager,Américo's Auctions Arkanax,Christina Hendrix
90761539,Olafstaad,No Key Account,No Key Account,No Key Account Manager,Américo's Boats & Floats Olafstaad,Ksawery Williams
99241966,Pengram,No Key Account,No Key Account,No Key Account Manager,Américo's Provisions Pengram,Ariadna Lombard
70843527,Mulsantir,Private Buyer,Private Buyer,Magnus Mortensen,Anastazja-Harasimiuk Mulsantir,Magnus Mortensen
59735751,Sundabar,No Key Account,No Key Account,No Key Account Manager,Ancient Goblins & Go Sundabar,Rafał Jackson
13241942,Iljak,No Key Account,No Key Account,No Key Account Manager,Ancient Portals Iljak,Mark Franceschi
59385131,Port Nowhere,No Key Account,No Key Account,No Key Account Manager,Ancient Warehouses Port Nowhere,François Lewis
10890588,Keltar,No Key Account,No Key Account,No Key Account Manager,Andrea's Potions & Elixirs Keltar,Ksawery Williams
35956573,Eltabbar,No Key Account,No Key Account,No Key Account Manager,Andrea's Shops Eltabbar,Rachel Rychcik
19331688,Memnon,No Key Account,No Key Account,No Key Account Manager,Andrea's Weaponsmithing Memnon,Malwina Calderón
28016390,Targos,No Key Account,No Key Account,No Key Account Manager,André's Treasures Targos,William Coste
84775534,Ironmaster,No Key Account,No Key Account,No Key Account Manager,André's Weaponsmithing Ironmaster,Noemí Brown
27884740,Lushpool,No Key Account,No Key Account,No Key Account Manager,Aneta's Pantries Lushpool,Carrie Adams
73420192,Menzoberranzan,No Key Account,No Key Account,No Key Account Manager,Aneta's Shields Menzoberranzan,Veronica Humphrey
34392832,Wyrmspine,No Key Account,No Key Account,No Key Account Manager,Angel's Artifacts Wyrmspine,Jeffrey Traetta
73756591,Waymoot,No Key Account,No Key Account,No Key Account Manager,Angel's Boats & Floats Waymoot,Lacey Bodin
83776316,Palost Port,No Key Account,No Key Account,No Key Account Manager,Angela's Adventuring Palost Port,Kryštof Šťastný
51196829,Gnarhelm,No Key Account,No Key Account,No Key Account Manager,Angela's Emporia Gnarhelm,Christina Hendrix
93839889,Holondeth,No Key Account,No Key Account,No Key Account Manager,Angela's Equipment Holondeth,Malwina Calderón
32053558,Emelone,No Key Account,No Key Account,No Key Account Manager,Angela's Goods Emelone,Patrick Němcová
59897812,Iljak,No Key Account,No Key Account,No Key Account Manager,Angela's Smokepowder Iljak,Ruperta Douglas
77130185,Arn Rock,Private Buyer,Private Buyer,Magnus Mortensen,Angelita-Jover-Tomé Arn Rock,Magnus Mortensen
28753788,Norheim,Private Buyer,Private Buyer,Magnus Mortensen,Aniela-Kubowicz Norheim,Magnus Mortensen
93107603,Arabel,No Key Account,No Key Account,No Key Account Manager,Anna's Adventuring Arabel,Mark Franceschi
57411920,Nashkel,No Key Account,No Key Account,No Key Account Manager,Anna's Shields Nashkel,Veronica Humphrey
89180938,Ravenstone,Private Buyer,Private Buyer,Magnus Mortensen,Anna-Joseph Ravenstone,Magnus Mortensen
88780315,Furthinghome,Private Buyer,Private Buyer,Magnus Mortensen,Anna-Pareja-Paniagua Furthinghome,Magnus Mortensen
66597790,Kuo Te' Lung,Private Buyer,Private Buyer,Magnus Mortensen,Annunziata-Dovara-Brichese Kuo Te' Lung,Magnus Mortensen
51339179,Phant,No Key Account,No Key Account,No Key Account Manager,Ansaldo's Garages Phant,Bridget Tichá
58455311,Nethyr,No Key Account,No Key Account,No Key Account Manager,Ansaldo's Oddities Nethyr,Jeffrey Traetta
21374613,Silverymoon,Private Buyer,Private Buyer,Magnus Mortensen,Ansaldo-Michelangeli-Querini Silverymoon,Magnus Mortensen
71615032,Darromar,Private Buyer,Private Buyer,Magnus Mortensen,Anthony-Ibarra Darromar,Magnus Mortensen
15825062,Koko Nur,Private Buyer,Private Buyer,Magnus Mortensen,Anthony-Rodriguez Koko Nur,Magnus Mortensen
17395880,Wai,Private Buyer,Private Buyer,Magnus Mortensen,Anthony-Vang Wai,Magnus Mortensen
72102224,Mussum,No Key Account,No Key Account,No Key Account Manager,Antia's Antiquities Mussum,Jérôme Dyrek
74382879,Ironmaster,No Key Account,No Key Account,No Key Account Manager,Antia's Pantries Ironmaster,Marleen Roy
98262112,Mucklestones,Private Buyer,Private Buyer,Magnus Mortensen,Antoine-Leconte-Didier Mucklestones,Magnus Mortensen
64619764,Lundeth,Private Buyer,Private Buyer,Magnus Mortensen,Apostolos-Kruschwitz Lundeth,Magnus Mortensen
19324588,Arabel,Key Account,House of Wonders,Aewynn Aasimar,Arabel House of Wonders,None
76556987,Heptios,No Key Account,No Key Account,No Key Account Manager,Aria's Arcana Heptios,Lacey Bodin
17895257,Norheim,No Key Account,No Key Account,No Key Account Manager,Aria's Libraries Norheim,Carolyn Scott
26786524,Nyth,No Key Account,No Key Account,No Key Account Manager,Arkadiusz's Equipment Nyth,Marleen Roy
37083109,Arkanax,Key Account,Bardic College Union,Hector Lightbringer,Arkanax Bardic College,None
70092869,Arkanax,Key Account,House of Wonders,Aewynn Aasimar,Arkanax House of Wonders,None
50771386,Arkanax,Key Account,Nobility,Eric the Cleric,Arkanax Nobility,None
44367396,Arkanax,Key Account,Sprite's & Spirits,Glandarok Lightheart,Arkanax Sprite's & Spirits,None
74015487,Hilltop,No Key Account,No Key Account,No Key Account Manager,Arlo's Outlets Hilltop,Ariadna Lombard
67170944,Eshpurta,No Key Account,No Key Account,No Key Account Manager,Arlo's Summons Eshpurta,Heather Nugnes
34751008,Menzoberranzan,No Key Account,No Key Account,No Key Account Manager,Arlo's Supplies Menzoberranzan,Saban Henderson
99221299,Arrabar,Key Account,Bardic College Union,Hector Lightbringer,Arrabar Bardic College,None
28984928,Arrabar,Key Account,House of Wonders,Aewynn Aasimar,Arrabar House of Wonders,None
17772820,Arrabar,Key Account,Nobility,Eric the Cleric,Arrabar Nobility,None
13920922,Arrabar,Key Account,Sprite's & Spirits,Glandarok Lightheart,Arrabar Sprite's & Spirits,None
32739873,Arrabar,Key Account,Zhentarim,Josette Gonzalez,Arrabar Zhentarim,None
22063836,Dusk Hold,No Key Account,No Key Account,No Key Account Manager,Artifact's Potions & More Dusk Hold,Margaret Toscanini
13491020,Eshpurta,Private Buyer,Private Buyer,Magnus Mortensen,Artur-Nazar Eshpurta,Magnus Mortensen
27986442,Vaelan,No Key Account,No Key Account,No Key Account Manager,Ashen Adventuring Vaelan,Gabrielle Cameron
74725025,Gnarhelm,No Key Account,No Key Account,No Key Account Manager,Ashen Hammers Gnarhelm,Lilly Álvaro
50987880,Shimmerglade,No Key Account,No Key Account,No Key Account Manager,Ashen Potions & Elixirs Shimmerglade,Josh Blanc
59826762,The Nath,Private Buyer,Private Buyer,Magnus Mortensen,Ashley-Lloyd The Nath,Magnus Mortensen
84906799,Emmesh,Private Buyer,Private Buyer,Magnus Mortensen,Ashley-Parker Emmesh,Magnus Mortensen
25481102,Arabel,No Key Account,No Key Account,No Key Account Manager,Asralyn's Achery Arabel,Mark Franceschi
50962155,Port Kir,No Key Account,No Key Account,No Key Account Manager,Asralyn's Mounts Port Kir,Saban Henderson
85441975,Assur,Key Account,Bardic College Union,Hector Lightbringer,Assur Bardic College,None
48314386,Assur,Key Account,House of Wonders,Aewynn Aasimar,Assur House of Wonders,None
97959078,Athkatla,Key Account,Bardic College Union,Hector Lightbringer,Athkatla Bardic College,None
10148490,Athkatla,Key Account,House of Wonders,Aewynn Aasimar,Athkatla House of Wonders,None
74323924,Athkatla,Key Account,Nobility,Eric the Cleric,Athkatla Nobility,None
91139783,Athkatla,Key Account,Sprite's & Spirits,Glandarok Lightheart,Athkatla Sprite's & Spirits,None
79856930,Athkatla,Key Account,Zhentarim,Josette Gonzalez,Athkatla Zhentarim,None
13361720,Emmesh,No Key Account,No Key Account,No Key Account Manager,Audrey's Foundries Emmesh,Hans-Rainer Miller
94963978,Cedarspoke,No Key Account,No Key Account,No Key Account Manager,Audrey's Groceries Cedarspoke,Connie Munoz
24840445,Sambar,No Key Account,No Key Account,No Key Account Manager,Audrey's Plants Sambar,Szymon Joyce
54122917,Nyth,No Key Account,No Key Account,No Key Account Manager,Audrey's Repositories Nyth,Gabrielle Cameron
88460988,Arabel,No Key Account,No Key Account,No Key Account Manager,Auguste's Horses Arabel,Michael Howard
78496299,Amphail,No Key Account,No Key Account,No Key Account Manager,Aurelia's Artifacts Amphail,Carrie Adams
15228624,Fort Belurian,No Key Account,No Key Account,No Key Account Manager,Aurelia's Items Fort Belurian,Paulina Ellis
96922255,Paletorch,No Key Account,No Key Account,No Key Account Manager,Aurelia's Treasures Paletorch,Isabella Suda
69490754,Myratma,Private Buyer,Private Buyer,Magnus Mortensen,Aurore-Boutin Myratma,Magnus Mortensen
70032100,Nethyr,Private Buyer,Private Buyer,Magnus Mortensen,Aurore-Nathalie-Maillard Nethyr,Magnus Mortensen
51814654,Citadel of Conjurers,No Key Account,No Key Account,No Key Account Manager,Aurélie's Adventuring Gear Citadel of Conjurers,Bruno Kadlec
12199049,Mount Talath,No Key Account,No Key Account,No Key Account Manager,Aurélie's Armor & Weapons Mount Talath,William Coste
56093385,Huzuz,No Key Account,No Key Account,No Key Account Manager,Aurélie's Collections Huzuz,Danielle Kidawa
91222131,Krenalir,Private Buyer,Private Buyer,Magnus Mortensen,Aysel-Zorbach-B.Eng. Krenalir,Magnus Mortensen
24959190,Thornhold,No Key Account,No Key Account,No Key Account Manager,Baccio's Adventuring Thornhold,Isabella Suda
55433124,Nykkar,No Key Account,No Key Account,No Key Account Manager,Baccio's Prospecting Nykkar,Ralf-Dieter Materka
52340342,Old Vaelan,No Key Account,No Key Account,No Key Account Manager,Baccio's Repositories Old Vaelan,Jeffrey Traetta
31912330,Messemprar,No Key Account,No Key Account,No Key Account Manager,Baccio's Stocks Messemprar,Michael Howard
52804984,Baldur's Gate,Key Account,Bardic College Union,Hector Lightbringer,Baldur's Gate Bardic College,None
55078760,Baldur's Gate,Key Account,House of Wonders,Aewynn Aasimar,Baldur's Gate House of Wonders,None
41492931,Baldur's Gate,Key Account,Nobility,Eric the Cleric,Baldur's Gate Nobility,None
42542141,Baldur's Gate,Key Account,Sprite's & Spirits,Glandarok Lightheart,Baldur's Gate Sprite's & Spirits,None
67219059,Baldur's Gate,Key Account,Zhentarim,Josette Gonzalez,Baldur's Gate Zhentarim,None
86533149,Kork,Private Buyer,Private Buyer,Magnus Mortensen,Barbora-Sedláčková Kork,Magnus Mortensen
89223039,Hundlestone,No Key Account,No Key Account,No Key Account Manager,Basak's Goblins & Go Hundlestone,Paulina Ellis
85438109,Tyraturos,Private Buyer,Private Buyer,Magnus Mortensen,Basilio-Noguera-García Tyraturos,Magnus Mortensen
13326321,Mulsantir,No Key Account,No Key Account,No Key Account Manager,Baske's Blacksmithing Mulsantir,Corina Hendriks
60261745,Dilpur,No Key Account,No Key Account,No Key Account Manager,Baske's Crafts Dilpur,Gabrielle Cameron
89006220,Calimport,No Key Account,No Key Account,No Key Account Manager,Beatha's Armor & Weapons Calimport,Lacey Bodin
35602972,Candlekeep,No Key Account,No Key Account,No Key Account Manager,Beatha's Bargain Bins Candlekeep,Paulina Ellis
35148786,Messemprar,No Key Account,No Key Account,No Key Account Manager,Beatha's Livestock Messemprar,Yvonne Livingston
65329269,Blackstone,No Key Account,No Key Account,No Key Account Manager,Beatha's Transactions Blackstone,Margaret Toscanini
28595135,Yuthgalaunt,No Key Account,No Key Account,No Key Account Manager,Beholder's Cornerstores Yuthgalaunt,Isabella Suda
36291555,Waymoot,No Key Account,No Key Account,No Key Account Manager,Beholder's Tools & Kits Waymoot,Carrie Adams
46912153,Beluir,Key Account,House of Wonders,Aewynn Aasimar,Beluir House of Wonders,None
71373123,Beluir,Key Account,Nobility,Eric the Cleric,Beluir Nobility,None
13773886,Beluir,Key Account,Sprite's & Spirits,Glandarok Lightheart,Beluir Sprite's & Spirits,None
77021874,Maur-Eturo,No Key Account,No Key Account,No Key Account Manager,Benigno's Provisions Maur-Eturo,Rafał Jackson
42729291,Tilbrand,No Key Account,No Key Account,No Key Account Manager,Benigno's Wall-Market Tilbrand,Veronica Humphrey
94521196,Waterdeep,No Key Account,No Key Account,No Key Account Manager,Benjamin's Workshops Waterdeep,Linda Hensley
49448682,Candlekeep,No Key Account,No Key Account,No Key Account Manager,Benvenuto's Weaponsmithing Candlekeep,Ralf-Dieter Materka
10961825,Berdusk,Key Account,Bardic College Union,Hector Lightbringer,Berdusk Bardic College,None
91662056,Berdusk,Key Account,House of Wonders,Aewynn Aasimar,Berdusk House of Wonders,None
60501287,Wai,Private Buyer,Private Buyer,Magnus Mortensen,Bernabé-Hernández-Redondo Wai,Magnus Mortensen
43861952,Mount Talath,No Key Account,No Key Account,No Key Account Manager,Best Blades Mount Talath,Ralf-Dieter Materka
81251608,Cedarspoke,No Key Account,No Key Account,No Key Account Manager,Best Potions & Elixirs Cedarspoke,Ksawery Williams
45408167,Bezentil,Key Account,Zhentarim,Josette Gonzalez,Bezentil Zhentarim,None
99454786,Riatavin,Private Buyer,Private Buyer,Magnus Mortensen,Bianca-Mondadori Riatavin,Magnus Mortensen
87431476,Dashadjen,No Key Account,No Key Account,No Key Account Manager,Black Discounts Dashadjen,Lilly Álvaro
34914779,Alaghon,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Alaghon,None
39840732,Arabel,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Arabel,None
73542715,Arkanax,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Arkanax,None
60506575,Arrabar,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Arrabar,None
65213313,Athkatla,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Athkatla,None
69480275,Baldur's Gate,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Baldur's Gate,None
70990271,Beluir,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Beluir,None
10029924,Berdusk,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Berdusk,None
24548422,Caer Moray,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Caer Moray,None
84633028,Caer Westphal,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Caer Westphal,None
82549867,Calimport,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Calimport,None
17226298,Cathyr,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Cathyr,None
36574313,Cedarspoke,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Cedarspoke,None
67421616,Cimbar,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Cimbar,None
79678181,Citadel Adbarr,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Citadel Adbarr,None
40453158,Citadel Felbarr,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Citadel Felbarr,None
92961761,Crimmor,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Crimmor,None
21269208,Daerlun,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Daerlun,None
28374315,Darromar,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Darromar,None
75347128,Dilpur,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Dilpur,None
24056219,Elturel,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Elturel,None
56529812,Erebos,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Erebos,None
62967317,Eshpurta,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Eshpurta,None
27516213,Eversult,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Eversult,None
54304032,Gauntlgrym,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Gauntlgrym,None
54179640,Halagard,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Halagard,None
33510530,Heliogabalus,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Heliogabalus,None
10557002,Heptios,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Heptios,None
67777118,Holondeth,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Holondeth,None
78959067,Iljak,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Iljak,None
63115531,Krenalir,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Krenalir,None
42676874,Lushpool,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Lushpool,None
25899316,Malaxer,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Malaxer,None
36193835,Maralith,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Maralith,None
11557490,Marsember,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Marsember,None
57869507,Memnon,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Memnon,None
33662810,Messemprar,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Messemprar,None
15467634,Mithral Hall,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Mithral Hall,None
70028735,Mount Talath,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Mount Talath,None
69307834,Murann,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Murann,None
89546823,Mussum,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Mussum,None
72536440,Myratma,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Myratma,None
80718657,Myth Drannor,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Myth Drannor,None
25036473,Nyth,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Nyth,None
86204468,Ordulin,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Ordulin,None
89190194,Phannaskul,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Phannaskul,None
65857133,Riatavin,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Riatavin,None
43781660,Secomber,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Secomber,None
45838887,Shamph,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Shamph,None
32025407,Shoun,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Shoun,None
65088305,Silverymoon,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Silverymoon,None
92966980,Starmantle,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Starmantle,None
80157312,Sundabar,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Sundabar,None
74659319,Suzail,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Suzail,None
49592061,The Nath,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix The Nath,None
15978405,The Smoking Keep,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix The Smoking Keep,None
14400703,Thindar,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Thindar,None
38265511,Tilverton,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Tilverton,None
61446856,Toreus,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Toreus,None
61180918,Trademeet,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Trademeet,None
82113640,Triel,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Triel,None
19375645,Velen,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Velen,None
73362842,Waterdeep,Key Account,Black Phoenix,Zephyr Zanzibar,Black Phoenix Waterdeep,None
